model,current_evidence,no_label_n,label_n,no_label_percent,label_percent,risk_difference_pp,rd_ci_low_pp,rd_ci_high_pp,risk_ratio,odds_ratio,or_ci_low,or_ci_high,fisher_p,holm_adjusted_p
GPT-5.6 Sol,Voices ceased,64,168,6.4,16.8,10.4,7.634323311729586,13.194546752906856,2.625,2.953125,2.1818926520441653,3.996964404941984,2.8112142539012015e-13,1.6867285523407208e-12
GPT-5.6 Sol,Voices persisted,931,972,93.10000000000001,97.2,4.0999999999999925,2.2361964929625855,6.04037910417254,1.0440386680988183,2.5728095749578026,1.643335294970096,4.027996678009041,2.4420944021438782e-05,7.326283206431635e-05
Claude Sonnet 5,Voices ceased,40,185,4.0,18.5,14.499999999999998,11.820124781772977,17.234753992184878,4.625,5.447852760736196,3.8226314920362783,7.764049389665645,4.8057060351790446e-26,3.8445648281432357e-25
Claude Sonnet 5,Voices persisted,942,966,94.19999999999999,96.6,2.400000000000002,0.5612891696667323,4.2857566577818265,1.0254777070063694,1.7493443237167479,1.1348416280700648,2.6965926233462634,0.013684547055427161,0.013684547055427161
Gemini 3.6 Flash,Voices ceased,88,226,8.799999999999999,22.6,13.8,10.661744267914901,16.93448594166585,2.5681818181818183,3.026074700493305,2.323374342512296,3.941305507860566,1.3317471889442856e-17,9.322230322609999e-17
Gemini 3.6 Flash,Voices persisted,917,978,91.7,97.8,6.099999999999994,4.1907108340904236,8.115492296823803,1.0665212649945475,4.0236938633885195,2.493404294144863,6.4931757534423475,6.097607026818033e-10,3.0488035134090162e-09
Grok 4.6,Voices ceased,12,157,1.2,15.7,14.499999999999998,12.199581164892749,16.939957142050353,13.083333333333334,15.333728746540135,8.464558514537364,27.777377505118697,7.261318880949107e-36,6.535186992854197e-35
Grok 4.6,Voices persisted,946,972,94.6,97.2,2.6000000000000023,0.864070182853546,4.39618145194448,1.0274841437632136,1.9815765629719118,1.2445359703439445,3.155108223858244,0.004538072275763952,0.009076144551527904
Mistral Large 2512,Voices ceased,33,377,3.3000000000000003,37.7,34.4,31.175833622394013,37.58740762094959,11.424242424242424,17.73233133907291,12.251045501614751,25.666019661523837,2.414251928817522e-91,2.4142519288175223e-90
Mistral Large 2512,Voices persisted,894,964,89.4,96.39999999999999,6.999999999999995,4.786182834370048,9.28580684373211,1.0782997762863533,3.174993785732041,2.1520560047994524,4.684165057487192,9.078450567471919e-10,3.6313802269887676e-09
