model,prior_schizophrenia,hit_rate,false_alarm_rate,d_prime,criterion_c
GPT-5.6 Sol,No,0.931,0.064,3.0053163690714775,0.019378057200117427
GPT-5.6 Sol,Yes,0.972,0.168,2.8731344014622597,-0.474468446817988
Claude Sonnet 5,No,0.942,0.04,3.3224728877620295,0.08944962737115525
Claude Sonnet 5,Yes,0.966,0.185,2.7214801851483195,-0.4642667285722434
Gemini 3.6 Flash,No,0.917,0.088,2.7383457627614387,-0.015998726832716303
Gemini 3.6 Flash,Yes,0.978,0.226,2.7661757187136304,-0.6310029526613237
Grok 4.6,No,0.946,0.012,3.8643771363864428,0.32494067629300405
Grok 4.6,Yes,0.972,0.157,2.9178999263476406,-0.4520856843752977
Mistral Large 2512,No,0.894,0.033,3.0865084803753247,0.2951694290601147
Mistral Large 2512,Yes,0.964,0.377,2.112487545721773,-0.7428743339770805
