Model,Current-evidence condition,"Mean confidence, no psychiatric history","Mean confidence, prior schizophrenia",Mean difference,95% CI lower,95% CI upper,Cohen's d,Raw p value,Holm-adjusted p value
GPT-5.6 Sol,Voices ceased,87.13013999999998,91.8001,4.669960000000017,4.191499009647346,5.1484209903526885,0.856085731880743,1.3558152533436086e-74,1.0846522026748869e-73
GPT-5.6 Sol,Voices persisted,90.93011000000001,94.56007000000001,3.629959999999997,3.215973931865591,4.043946068134403,0.76907427109096,1.5662317809195064e-61,9.397390685517039e-61
Claude Sonnet 5,Voices ceased,86.92004000000001,89.77001999999999,2.8499799999999738,2.353497018961738,3.3464629810382096,0.5034879619949708,1.79163190218201e-28,3.58326380436402e-28
Claude Sonnet 5,Voices persisted,90.05014,93.44992,3.399780000000007,2.9920631242513505,3.8074968757486634,0.7313851186557339,3.5733495650673905e-56,1.786674782533695e-55
Gemini 3.6 Flash,Voices ceased,88.95993,93.20009,4.240160000000003,3.7072617518289963,4.77305824817101,0.697901992712984,1.4102212491832587e-51,4.2306637475497765e-51
Gemini 3.6 Flash,Voices persisted,90.41012,95.37008,4.959959999999995,4.561681413064522,5.358238586935468,1.0923069778757037,4.014893640258943e-114,4.014893640258943e-113
Grok 4.6,Voices ceased,91.49999,93.17010999999998,1.670119999999983,1.2517416899334561,2.0884983100665098,0.3501103409270056,7.933378186430149e-15,7.933378186430149e-15
Grok 4.6,Voices persisted,92.48004999999999,95.38002,2.8999700000000104,2.581682497720025,3.2182575022799957,0.7991336341588549,4.882086860345922e-66,3.4174608022421457e-65
Mistral Large 2512,Voices ceased,86.40994,90.56988,4.159939999999992,3.6461684845543565,4.673711515445627,0.7101830045729816,2.864957297846962e-53,1.1459829191387847e-52
Mistral Large 2512,Voices persisted,88.36995,93.62007,5.2501199999999955,4.751181342462001,5.74905865753799,0.9230225858218959,3.8326504921531913e-84,3.4493854429378724e-83
